CityId,DistrictId,CityName,DistrictName,MaxLentilArea,MaxBeanArea,MaxSunflowerArea,MaxChickpeaArea,MaxPotatoArea,MaxRiceArea,MaxCanolaArea,MaxSoybeanArea,MaxTomatoArea,MaxSugarbeetArea,MaxCottonArea,MaxCornArea,MaxPeanutArea,MaxBarleyArea,MaxOatArea,MaxWheatArea,MaxOnionArea
6,653,ANKARA,MAMAK,796.3636,100.0000,100.0000,14520.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,30960.0000,1723.6364,16778.1818,100.0000
71,654,KIRIKKALE,YAHŞİHAN,100.0000,100.0000,100.0000,11345.4546,100.0000,100.0000,100.0000,100.0000,109.0909,100.0000,100.0000,130.9091,100.0000,21283.6364,100.0000,42109.0909,894.5455
10,655,BALIKESİR,EDREMİT,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,6490.9091,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,70232.7273,100.0000
66,656,YOZGAT,MERKEZ,654.5455,1516.3636,7789.0909,261338.1818,392.7273,100.0000,100.0000,100.0000,100.0000,14978.1818,100.0000,207.2727,100.0000,174360.0000,1418.1818,352898.1818,458.1818
58,657,SİVAS,İMRANLI,100.0000,100.0000,100.0000,687.2727,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,6360.0000,1920.0000,23694.5455,100.0000
24,658,ERZİNCAN,TERCAN,100.0000,1549.0909,100.0000,2280.0000,3174.5455,100.0000,100.0000,100.0000,100.0000,31789.0909,100.0000,100.0000,100.0000,123970.9091,632.7273,218258.1818,100.0000
10,659,BALIKESİR,KEPSUT,100.0000,392.7273,100.0000,4832.7273,100.0000,100.0000,100.0000,100.0000,4385.4545,100.0000,100.0000,196.3636,100.0000,5421.8182,100.0000,85374.5455,174.5455
6,660,ANKARA,MERKEZ,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
6,661,ANKARA,ELMADAĞ,654.5455,109.0909,3338.1818,22560.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,90905.4546,1080.0000,47640.0000,338.1818
71,662,KIRIKKALE,MERKEZ,100.0000,600.0000,141.8182,18534.5455,100.0000,100.0000,100.0000,100.0000,141.8182,100.0000,100.0000,338.1818,100.0000,19941.8182,100.0000,72632.7273,100.0000
66,663,YOZGAT,SORGUN,100.0000,1309.0909,2520.0000,271560.0000,403.6364,100.0000,100.0000,100.0000,100.0000,17880.0000,100.0000,100.0000,100.0000,77716.3636,100.0000,436178.1818,578.1818
25,664,ERZURUM,KARAYAZI,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,135992.7273,100.0000,65541.8182,100.0000
60,665,TOKAT,YEŞİLYURT,100.0000,240.0000,100.0000,1516.3636,567.2727,100.0000,100.0000,100.0000,100.0000,21010.9091,100.0000,100.0000,100.0000,29410.9091,2007.2727,24720.0000,100.0000
11,666,BİLECİK,BOZÜYÜK,100.0000,349.0909,2061.8182,2650.9091,100.0000,100.0000,100.0000,100.0000,100.0000,501.8182,100.0000,100.0000,100.0000,13549.0909,100.0000,40483.6364,100.0000
26,667,ESKİŞEHİR,TEPEBAŞI,100.0000,567.2727,13101.8182,5280.0000,2770.9091,100.0000,100.0000,100.0000,316.3636,15960.0000,100.0000,33338.1818,100.0000,115778.1818,4920.0000,162152.7273,2967.2727
60,668,TOKAT,SULUSARAY,100.0000,218.1818,458.1818,1920.0000,100.0000,100.0000,100.0000,100.0000,100.0000,13363.6364,100.0000,100.0000,100.0000,21905.4546,250.9091,63600.0000,100.0000
