CityId,TARGET_FID,FieldId,CityName,DistrictName,CropName,Coef,FieldArea,VarName,VarValue,Utility
57,1089,8431,SİNOP,AYANCIK,Sunflower,10.85,9.35,x2,1.0,101.44749999999999
57,1089,8432,SİNOP,AYANCIK,Cotton,5.58,18.9,x23,1.0,105.46199999999999
57,1089,8433,SİNOP,AYANCIK,Sunflower,6.68,2.0,x36,1.0,13.36
57,1089,8434,SİNOP,AYANCIK,Tomato,8.64,20.83,x67,1.0,179.9712
57,1089,8435,SİNOP,AYANCIK,Wheat,8.98,5.94,x68,1.0,53.34120000000001
57,1089,8436,SİNOP,AYANCIK,Onion,7.23,16.14,x99,1.0,116.69220000000001
57,1089,8437,SİNOP,AYANCIK,Peanut,5.58,21.88,x111,1.0,122.0904
57,1089,8438,SİNOP,AYANCIK,Onion,6.29,4.32,x133,1.0,27.172800000000002
57,1089,8439,SİNOP,AYANCIK,Onion,7.51,0.96,x150,1.0,7.209599999999999
57,1089,8440,SİNOP,AYANCIK,Sugarbeet,6.29,14.38,x160,1.0,90.45020000000001
57,1061,8441,SİNOP,BOYABAT,Lentil,6.61,9.45,x174,1.0,62.4645
57,1061,8442,SİNOP,BOYABAT,Sunflower,7.38,9.26,x189,1.0,68.33879999999999
57,1061,8443,SİNOP,BOYABAT,Soybean,7.08,4.0,x212,1.0,28.32
57,1061,8444,SİNOP,BOYABAT,Sugarbeet,6.85,7.25,x228,1.0,49.662499999999994
57,1061,8445,SİNOP,BOYABAT,Sugarbeet,6.68,30.6,x245,1.0,204.408
57,1061,8446,SİNOP,BOYABAT,Sugarbeet,10.77,26.6,x262,1.0,286.482
57,1061,8447,SİNOP,BOYABAT,Sugarbeet,7.47,5.0,x279,1.0,37.35
57,1061,8448,SİNOP,BOYABAT,Peanut,7.3,11.78,x298,1.0,85.994
57,1061,8449,SİNOP,BOYABAT,Wheat,6.14,17.0,x306,1.0,104.38
57,1061,8450,SİNOP,BOYABAT,Chickpea,7.57,14.05,x328,1.0,106.3585
57,1060,8451,SİNOP,DİKMEN,Potato,6.89,25.16,x351,1.0,173.3524
57,1060,8452,SİNOP,DİKMEN,Sunflower,7.23,6.09,x359,1.0,44.0307
57,1060,8453,SİNOP,DİKMEN,Chickpea,4.89,23.14,x379,1.0,113.1546
57,1060,8454,SİNOP,DİKMEN,Sunflower,8.18,13.85,x393,1.0,113.29299999999999
57,1060,8455,SİNOP,DİKMEN,Corn,4.53,4.81,x420,1.0,21.7893
57,1060,8456,SİNOP,DİKMEN,Wheat,6.82,29.68,x425,1.0,202.4176
57,1060,8457,SİNOP,DİKMEN,Rice,10.03,5.4,x445,1.0,54.162
57,1060,8458,SİNOP,DİKMEN,Cotton,8.71,21.42,x465,1.0,186.56820000000005
57,1060,8459,SİNOP,DİKMEN,Corn,8.27,3.73,x488,1.0,30.847099999999998
57,1060,8460,SİNOP,DİKMEN,Onion,10.47,14.33,x507,1.0,150.0351
57,1046,8461,SİNOP,DURAĞAN,Tomato,5.36,14.12,x526,1.0,75.6832
57,1046,8462,SİNOP,DURAĞAN,Sugarbeet,5.8,16.82,x534,1.0,97.556
57,1046,8463,SİNOP,DURAĞAN,Oat,6.02,14.53,x554,1.0,87.47059999999999
57,1046,8464,SİNOP,DURAĞAN,Sunflower,7.39,16.32,x563,1.0,120.6048
57,1046,8465,SİNOP,DURAĞAN,Onion,6.72,10.71,x592,1.0,71.9712
57,1046,8466,SİNOP,DURAĞAN,Oat,2.04,12.42,x605,1.0,25.3368
57,1046,8467,SİNOP,DURAĞAN,Corn,6.25,3.0,x624,1.0,18.75
57,1046,8468,SİNOP,DURAĞAN,Bean,7.77,23.42,x644,1.0,181.9734
57,1046,8469,SİNOP,DURAĞAN,Wheat,8.25,23.47,x646,1.0,193.6275
57,1046,8470,SİNOP,DURAĞAN,Bean,6.12,21.53,x678,1.0,131.7636
57,1095,8471,SİNOP,ERFELEK,Cotton,6.93,13.77,x686,1.0,95.42609999999999
57,1095,8472,SİNOP,ERFELEK,Sunflower,6.63,10.86,x699,1.0,72.00179999999999
57,1095,8473,SİNOP,ERFELEK,Barley,6.94,15.86,x715,1.0,110.0684
57,1095,8474,SİNOP,ERFELEK,Soybean,9.25,3.55,x739,1.0,32.8375
57,1095,8475,SİNOP,ERFELEK,Soybean,5.85,22.22,x756,1.0,129.987
57,1095,8476,SİNOP,ERFELEK,Rice,7.07,1.29,x768,1.0,9.1203
57,1095,8477,SİNOP,ERFELEK,Onion,7.3,4.52,x796,1.0,32.995999999999995
57,1095,8478,SİNOP,ERFELEK,Tomato,7.93,7.64,x815,1.0,60.58519999999999
57,1095,8479,SİNOP,ERFELEK,Oat,5.36,8.75,x826,1.0,46.900000000000006
57,1095,8480,SİNOP,ERFELEK,Onion,6.7,19.17,x847,1.0,128.43900000000002
57,1083,8481,SİNOP,GERZE,Peanut,6.92,5.0,x859,1.0,34.6
