CityId,DistrictId,CityName,DistrictName,WheatYield,BarleyYield,OatYield,CottonYield,SoybeanYield,TomatoYield,CanolaYield,PotatoYield,SugarbeetYield,OnionYield,BeanYield,LentilYield,ChickpeaYield,PeanutYield,RiceYield,CornYield,SunflowerYield
77,826,YALOVA,Ç?FTL?KKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,827,SAKARYA,AR?F?YE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,828,KOCAEL?,GÖLCÜK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,829,KOCAEL?,BA??SKELE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,830,ÇORUM,BAYAT,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,831,ÇORUM,O?UZLAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,832,ÇORUM,LÂÇ?N,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,833,G?RESUN,DEREL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
18,834,ÇANKIRI,YAPRAKLI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
77,835,YALOVA,ALTINOVA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,836,SAKARYA,ERENLER,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,837,AMASYA,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
29,839,GÜMÜ?HANE,KÜRTÜN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
25,840,ERZURUM,UZUNDERE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,841,KOCAEL?,KARTEPE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
10,842,BALIKES?R,MARMARA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,843,ORDU,KORGAN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
14,844,BOLU,YEN?ÇA?A,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,845,AMASYA,HAMAMÖZÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,846,DÜZCE,GÖLYAKA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,847,TRABZON,ÇAYKARA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,848,AMASYA,SULUOVA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,849,ÇORUM,DODURGA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,850,G?RESUN,DO?ANKENT,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
14,851,BOLU,GEREDE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,852,SAKARYA,AKYAZI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
60,853,TOKAT,ERBAA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,854,DÜZCE,KAYNA?LI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,855,ORDU,KABADÜZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,856,TRABZON,KÖPRÜBA?I,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,857,KOCAEL?,DARICA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,859,TRABZON,DERNEKPAZARI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,860,ORDU,GÜRGENTEPE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,861,ORDU,ULUBEY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,862,SAKARYA,SERD?VAN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,863,DÜZCE,GÜMÜ?OVA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,864,G?RESUN,YA?LIDERE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
