CropName,CropId,YieldNihat,YieldTuik20
Wheat,16,700,292
Barley,14,700,265
Oat,15,500,278
Cotton,11,450,494
Soybean,8,350,442
Tomato,9,10000,7244
Canola,7,350,347
Potato,5,5000,3514
Sugarbeet,10,10000,6846
Onion,17,6000,3329
Bean,2,360,271
Lentil,1,200,157
Chickpea,4,150,123
Peanut,13,400,394
Rice,6,900,782
Corn,12,1350,941
Sunflower,3,400,292
