CityId,DistrictId,CityName,DistrictName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
7,43,ANTALYA,FİNİKE,14210,-2784876,4149320,2930,-1005576,776450,190,-33953,52820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,44,HATAY,KIRIKHAN,166910,-32711022,48737720,90,-30888,23850,0,0,0,127180,370724613,62826920,110,-33499,48620,2310,-529568,16733640,0,0,0,1730,2793431,6079220,0,0,0,3470,20624292,11551630,0,0,0,90,13136,14130,30,186,3690,920,1474024,362480,0,0,0,54780,-4045503,51547980,1140,997865,332880
31,45,HATAY,İSKENDERUN,2780,-544824,811760,40,-13728,10600,0,0,0,0,0,0,0,0,0,30,-6877,217320,0,0,0,20,32294,70280,0,0,0,130,772668,432770,0,0,0,0,0,0,30,186,3690,0,0,0,0,0,0,30,-2216,28230,0,0,0
7,47,ANTALYA,KAŞ,30310,-5940154,8850520,4030,-1383096,1067950,330,-58971,91740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,154868,48780,0,0,0,210,1302,25830,0,0,0,0,0,0,0,0,0,0,0,0
70,49,KARAMAN,SARIVELİLER,10,-1960,2920,240,-82368,63600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,62,1230,0,0,0,0,0,0,0,0,0,0,0,0
1,51,ADANA,KARATAŞ,142470,-27921271,41601240,700,-240240,185500,0,0,0,134390,391741474,66388660,71470,-21765474,31589740,0,0,0,0,0,0,1010,1630847,3549140,0,0,0,1090,6478524,3628610,0,0,0,0,0,0,60,372,7380,81570,130691454,32138580,0,0,0,90130,-6656101,84812330,1370,1199188,400040
31,52,HATAY,PAYAS,1010,-197940,294920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,237744,133160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,54,ANTALYA,KEMER,3620,-709448,1057040,320,-109824,84800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,-39879,508140,0,0,0
7,55,ANTALYA,ALANYA,5160,-1011257,1506720,360,-123552,95400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48441,105420,0,0,0,190,1129284,632510,0,0,0,0,0,0,0,0,0,130,208286,51220,0,0,0,30,-2216,28230,0,0,0
70,59,KARAMAN,BAŞYAYLA,210,-41156,61320,60,-20592,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,248,4920,0,0,0,0,0,0,0,0,0,0,0,0
79,61,KİLİS,ELBEYLİ,87140,-17077697,25444880,30040,-10309728,7960600,0,0,0,9240,26934230,4564560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17740,2589153,2785180,15180,94116,1867140,0,0,0,0,0,0,14940,-1103319,14058540,0,0,0
70,69,KARAMAN,ERMENEK,1780,-348844,519760,710,-243672,188150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,161470,351400,0,0,0,60,356616,199740,160,137661,43360,10,1460,1570,1400,8680,172200,0,0,0,0,0,0,0,0,0,0,0,0
79,70,KİLİS,MERKEZ,62810,-12309504,18340520,52660,-18072912,13954900,0,0,0,730,2127921,360620,0,0,0,1360,-311780,9851840,0,0,0,0,0,0,0,0,0,2520,14977872,8389080,0,0,0,26330,3842864,4133810,6760,41912,831480,0,0,0,0,0,0,520,-38402,489320,0,0,0
1,75,ADANA,YUMURTALIK,76300,-14953274,22279600,2140,-734448,567100,0,0,0,20960,61097562,10354240,11360,-3459574,5021120,0,0,0,0,0,0,8040,12982188,28252560,0,0,0,1740,10341864,5792460,0,0,0,0,0,0,140,868,17220,13340,21373348,5255960,0,0,0,18120,-1338162,17050920,77590,67916079,22656280
31,76,HATAY,HASSA,24390,-4779952,7121880,970,-332904,257050,0,0,0,4280,12476029,2114320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1307592,732380,0,0,0,0,0,0,0,0,0,0,0,0,1010,856026,789820,11510,-850014,10830910,0,0,0
7,77,ANTALYA,KUMLUCA,3910,-766282,1141720,510,-175032,135150,30,-5361,8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,60227,18970,0,0,0,100,620,12300,0,0,0,0,0,0,10,-739,9410,0,0,0
33,78,MERSİN,YENİŞEHİR,1820,-356684,531440,290,-99528,76850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,-8862,112920,0,0,0
79,79,KİLİS,POLATELİ,13760,-2696685,4017920,9330,-3202056,2472450,0,0,0,0,0,0,0,0,0,1070,-245298,7751080,0,0,0,0,0,0,0,0,0,300,1783080,998700,0,0,0,3390,494771,532230,670,4154,82410,0,0,0,0,0,0,0,0,0,0,0,0
31,81,HATAY,DÖRTYOL,22220,-4354676,6488240,1290,-442728,341850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,64588,140560,0,0,0,4220,25081992,14048380,0,0,0,0,0,0,0,0,0,6010,9629222,2367940,0,0,0,770,-56865,724570,0,0,0
33,87,MERSİN,MEZİTLİ,7680,-1505126,2242560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,-65727,837490,0,0,0
33,88,MERSİN,MUT,9210,-1804976,2689320,1960,-672672,519400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48441,105420,0,0,0,40,237744,133160,130,111849,35230,0,0,0,2780,17236,341940,90,144198,35460,0,0,0,0,0,0,0,0,0
27,89,GAZİANTEP,KARKAMIŞ,20780,-4072464,6067760,51480,-17667936,13642200,0,0,0,10260,29907490,5068440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,302117,324990,4070,25234,500610,0,0,0,0,0,0,3690,-272507,3472290,10280,8998290,3001760
33,90,MERSİN,MERKEZ,4480,-877990,1308160,180,-61776,47700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6770,-499965,6370570,0,0,0
42,91,KONYA,TAŞKENT,6370,-1248393,1860040,400,-137280,106000,30,-5361,8340,0,0,0,0,0,0,0,0,0,0,0,0,670,1081849,2354380,0,0,0,240,1426464,798960,0,0,0,0,0,0,580,3596,71340,0,0,0,0,0,0,0,0,0,0,0,0
63,92,ŞANLIURFA,AKÇAKALE,213270,-41796655,62274840,47510,-16305432,12590150,0,0,0,169190,493182082,83579860,40,-12182,17680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14710,2146925,2309470,20,124,2460,0,0,0,0,0,0,121030,-8938066,113889230,510,446413,148920
7,94,ANTALYA,MERKEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,-186841,2380730,0,0,0
31,95,HATAY,ERZİN,65800,-12895484,19213600,1660,-569712,439900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1054,20910,8980,14387756,3538120,0,0,0,6570,-485195,6182370,21360,18696835,6237120
48,96,MUĞLA,FETHİYE,5730,-1122965,1673160,1390,-477048,368350,100,-17870,27800,0,0,0,0,0,0,0,0,0,0,0,0,40,64588,140560,0,0,0,0,0,0,20,17208,5420,0,0,0,60,372,7380,0,0,0,0,0,0,0,0,0,0,0,0
63,97,ŞANLIURFA,HARRAN,172340,-33775193,50323280,37160,-12753312,9847400,0,0,0,152280,443890109,75226320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420,1374849,1478940,10,62,1230,0,0,0,0,0,0,138680,-10241518,130497880,0,0,0
79,98,KİLİS,MUSABEYLİ,50190,-9836236,14655480,12100,-4152720,3206500,0,0,0,0,0,0,0,0,0,220,-50435,1593680,0,0,0,0,0,0,0,0,0,4520,26865072,15047080,0,0,0,1260,183897,197820,4140,25668,509220,0,0,0,0,0,0,0,0,0,0,0,0
48,99,MUĞLA,DATÇA,720,-141106,210240,390,-133848,103350,40,-7148,11120,0,0,0,0,0,0,0,0,0,0,0,0,810,1307907,2846340,0,0,0,40,237744,133160,30,25811,8130,0,0,0,10,62,1230,0,0,0,0,0,0,20,-1477,18820,0,0,0
7,100,ANTALYA,ELMALI,66210,-12975836,19333320,53780,-18457296,14251700,1560,-278772,433680,0,0,0,0,0,0,0,0,0,0,0,0,60,96882,210840,11330,3533487,77565180,90,534924,299610,670,576455,181570,0,0,0,26070,161634,3206610,0,0,0,0,0,0,0,0,0,170,148804,49640
33,101,MERSİN,SİLİFKE,18960,-3715781,5536320,2140,-734448,567100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25811,8130,0,0,0,8300,51460,1020900,120,192264,47280,1780,1508639,1391960,290,-21417,272890,0,0,0
7,102,ANTALYA,KONYAALTI,960,-188141,280320,290,-99528,76850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,292529,92140,0,0,0,90,558,11070,0,0,0,0,0,0,0,0,0,0,0,0
27,103,GAZİANTEP,OĞUZELİ,113690,-22280966,33197480,72320,-24820224,19164800,0,0,0,8030,23407129,3966820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,4754880,2663200,0,0,0,38340,5595723,6019380,39690,246078,4881870,0,0,0,0,0,0,7420,-547967,6982220,3060,2678479,893520
1,104,ADANA,YÜREĞİR,61680,-12088046,18010560,1500,-514800,397500,0,0,0,29570,86195367,14607580,49280,-15007731,21781760,0,0,0,20,6106,6940,12400,20022280,43573600,0,0,0,10530,62586108,35054370,0,0,0,0,0,0,0,0,0,33640,53898008,13254160,0,0,0,88670,-6548280,83438470,7440,6512381,2172480
1,105,ADANA,SEYHAN,25430,-4983771,7425560,70,-24024,18550,0,0,0,11980,34921221,5918120,29190,-8889523,12901980,0,0,0,0,0,0,6020,9720494,21154280,0,0,0,4010,23833836,13349290,0,0,0,0,0,0,0,0,0,8570,13730854,3376580,0,0,0,92830,-6855496,87353030,20,17506,5840
48,106,MUĞLA,ORTACA,11670,-2287087,3407640,8960,-3075072,2374400,0,0,0,1730,5042881,854620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,-31017,395220,0,0,0
48,107,MUĞLA,SEYDİKEMER,84890,-16636742,24787880,4530,-1554696,1200450,700,-125090,194600,140,408094,69160,0,0,0,40,-9170,289760,0,0,0,2960,4779512,10401440,120,37424,821520,270,1604772,898830,210,180680,56910,0,0,0,720,4464,88560,420,672924,165480,0,0,0,340,-25109,319940,0,0,0
80,108,OSMANİYE,TOPRAKKALE,17910,-3510002,5229720,0,0,0,0,0,0,0,0,0,1590,-484219,702780,0,0,0,0,0,0,0,0,0,0,0,0,2720,16166592,9054880,0,0,0,0,0,0,0,0,0,3630,5815986,1430220,0,0,0,14240,-1051624,13399840,4000,3501280,1168000
7,109,ANTALYA,GÜNDOĞMUŞ,2720,-533066,794240,180,-61776,47700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,113029,245980,0,0,0,0,0,0,0,0,0,0,0,0,10,62,1230,0,0,0,0,0,0,0,0,0,0,0,0
27,110,GAZİANTEP,ŞAHİNBEY,66160,-12966037,19318720,43960,-15087072,11649400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,5705856,3195840,60,51623,16260,17740,2589153,2785180,7720,47864,949560,0,0,0,0,0,0,710,-52434,668110,0,0,0
42,111,KONYA,HADİM,8940,-1752061,2610480,1000,-343200,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,1566259,3408580,0,0,0,720,4279392,2396880,120,103246,32520,0,0,0,2300,14260,282900,0,0,0,0,0,0,0,0,0,0,0,0
1,113,ADANA,ÇUKUROVA,16860,-3304223,4923120,1960,-672672,519400,0,0,0,110,320646,54340,210,-63953,92820,0,0,0,0,0,0,340,548998,1194760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,1538112,378240,0,0,0,3260,-240751,3067660,15010,13138553,4382920
27,114,GAZİANTEP,İSLAHİYE,166740,-32677705,48688080,15180,-5209776,4022700,0,0,0,5130,14953745,2534220,0,0,0,0,0,0,0,0,0,0,0,0,6180,1927357,42308280,460,2734056,1531340,0,0,0,390,56921,61230,390,2418,47970,0,0,0,0,0,0,8760,-646926,8243160,0,0,0
80,116,OSMANİYE,HASANBEYLİ,9180,-1799096,2680560,2500,-858000,662500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,2542,50430,0,0,0,0,0,0,0,0,0,40,35013,11680
15,117,BURDUR,ALTINYAYLA,2400,-470352,700800,220,-75504,58300,190,-33953,52820,0,0,0,0,0,0,0,0,0,0,0,0,30,48441,105420,0,0,0,0,0,0,60,51623,16260,0,0,0,140,868,17220,0,0,0,0,0,0,0,0,0,0,0,0
