CityId,CityName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
29,GÜMÜŞHANE,223940,-43887760,65390480,120410,-41324712,31908650,420,-75054,116760,0,0,0,0,0,0,0,0,0,0,0,0,12480,20151456,43854720,4550,1419009,31149300,40,237744,133160,15320,13181021,4151720,340,49624,53380,2790,17298,343170,0,0,0,0,0,0,630,-46526,592830,0,0,0
30,HAKKARİ,525500,-102987491,153446000,25890,-8885448,6860850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,1227172,2670640,0,0,0,3240,19257264,10785960,4030,3467333,1092130,0,0,0,3430,21266,421890,0,0,0,8260,7000763,6459320,2280,-168379,2145480,0,0,0
31,HATAY,671410,-131582932,196051720,15080,-5175456,3996200,1680,-300216,467040,374940,1092935102,185220360,680,-207087,300560,10170,-2331472,73671480,0,0,0,27520,44436544,96705280,0,0,0,73060,434239416,243216740,70,60226,18970,110,16055,17270,2400,14880,295200,28660,45919052,11292040,1010,856026,789820,193550,-14293672,182130550,22640,19817245,6610880
32,ISPARTA,155200,-30416097,45318400,328180,-112631376,86967700,8870,-1585069,2465860,0,0,0,0,0,0,1560,-357631,11300640,0,0,0,3140,5070158,11033960,19680,6137601,134729280,3750,22288500,12483750,10950,9421159,2967450,5590,815862,877630,47740,295988,5872020,30,48066,11820,0,0,0,290,-21418,272890,30,26260,8760
33,MERSİN,359910,-70535162,105093720,13740,-4715568,3641100,0,0,0,33990,99079490,16791060,59580,-18144493,26334360,0,0,0,0,0,0,2150,3471605,7555100,0,0,0,1510,8974836,5026790,160,137660,43360,0,0,0,12240,75888,1505520,2340,3749148,921960,3480,2949474,2721360,69700,-5147348,65587700,17440,15265581,5092480
34,İSTANBUL,439830,-86197886,128430360,80520,-27634464,21337800,3640,-650468,1011920,0,0,0,0,0,0,90,-20633,651960,29400,8975820,10201800,170,274499,597380,160,49899,1095360,300,1783080,998700,240,206491,65040,0,0,0,260,1612,31980,0,0,0,4140,3508857,3237480,470,-34710,442270,184150,161190177,53771800
35,İZMİR,349190,-68434258,101963480,170750,-58601400,45248750,10440,-1865628,2902320,373990,1090165890,184751060,0,0,0,211060,-48385506,1528918640,0,0,0,223750,361289125,786257500,0,0,0,2420,14383512,8056180,200,172077,54200,0,0,0,270,1674,33210,0,0,0,0,0,0,139470,-10299863,131241270,35140,30758744,10260880
36,KARS,754880,-147941383,220424960,1326490,-455251368,351519850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8560,13821832,30079840,49880,15556075,341478480,0,0,0,0,0,0,0,0,0,70,434,8610,0,0,0,0,0,0,0,0,0,0,0,0
37,KASTAMONU,359470,-70448934,104965240,163860,-56236752,43422900,2930,-523591,814540,0,0,0,0,0,0,0,0,0,0,0,0,6660,10753902,23403240,44810,13974896,306769260,300,1783080,998700,20,17208,5420,0,0,0,0,0,0,0,0,0,3800,3220690,2971600,5840,-431285,5495440,0,0,0
38,KAYSERİ,1742800,-341553944,508897600,1179130,-404677416,312469450,23920,-4274504,6649760,0,0,0,0,0,0,4860,-1114154,35205840,0,0,0,156850,253265695,551170900,252890,78868804,1731284940,230,1367028,765670,34390,29588465,9319690,430,62759,67510,163610,1014382,20124030,0,0,0,0,0,0,4980,-367774,4686180,0,0,0
