CityId,TARGET_FID,FieldId,CityName,DistrictName,CropName,Coef,FieldArea,VarName,VarValue,Utility
12,568,1821,BİNGÖL,ADAKLI,Wheat,7.75,18.54,x0,1.0,143.685
12,568,1822,BİNGÖL,ADAKLI,Soybean,5.47,24.04,x25,1.0,131.4988
12,568,1823,BİNGÖL,ADAKLI,Tomato,5.35,34.79,x50,1.0,186.1265
12,568,1824,BİNGÖL,ADAKLI,Oat,8.38,24.82,x61,1.0,207.99160000000003
12,568,1825,BİNGÖL,ADAKLI,Bean,6.89,16.52,x83,1.0,113.82279999999999
12,568,1826,BİNGÖL,ADAKLI,Onion,7.71,20.47,x99,1.0,157.8237
12,568,1827,BİNGÖL,ADAKLI,Oat,8.67,7.36,x112,1.0,63.8112
12,568,1828,BİNGÖL,ADAKLI,Onion,6.67,7.03,x133,1.0,46.890100000000004
12,568,1829,BİNGÖL,ADAKLI,Canola,8.3,13.38,x149,1.0,111.05400000000002
12,568,1830,BİNGÖL,ADAKLI,Barley,4.86,16.17,x154,1.0,78.58620000000002
12,483,1831,BİNGÖL,GENÇ,Rice,7.03,34.22,x173,1.0,240.5666
12,483,1832,BİNGÖL,GENÇ,Soybean,6.62,20.46,x195,1.0,135.4452
12,483,1833,BİNGÖL,GENÇ,Sunflower,8.64,26.61,x206,1.0,229.9104
12,483,1834,BİNGÖL,GENÇ,Sunflower,8.63,28.8,x223,1.0,248.54400000000004
12,483,1835,BİNGÖL,GENÇ,Oat,6.44,5.99,x248,1.0,38.5756
12,483,1836,BİNGÖL,GENÇ,Sugarbeet,7.91,23.25,x262,1.0,183.9075
12,483,1837,BİNGÖL,GENÇ,Tomato,9.37,20.26,x288,1.0,189.8362
12,483,1838,BİNGÖL,GENÇ,Sunflower,6.02,25.43,x291,1.0,153.08859999999999
12,483,1839,BİNGÖL,GENÇ,Barley,5.68,5.0,x307,1.0,28.4
12,483,1840,BİNGÖL,GENÇ,Wheat,9.45,4.79,x323,1.0,45.265499999999996
12,580,1841,BİNGÖL,KARLIOVA,Sugarbeet,8.15,23.92,x347,1.0,194.94800000000004
12,580,1842,BİNGÖL,KARLIOVA,Barley,8.5,2.78,x358,1.0,23.63
12,580,1843,BİNGÖL,KARLIOVA,Corn,6.08,20.85,x386,1.0,126.76800000000001
12,580,1844,BİNGÖL,KARLIOVA,Barley,7.09,4.0,x392,1.0,28.36
12,580,1845,BİNGÖL,KARLIOVA,Wheat,7.48,24.79,x408,1.0,185.4292
12,580,1846,BİNGÖL,KARLIOVA,Rice,7.33,11.94,x428,1.0,87.5202
12,580,1847,BİNGÖL,KARLIOVA,Onion,9.89,9.14,x456,1.0,90.39460000000001
12,580,1848,BİNGÖL,KARLIOVA,Corn,10.03,20.99,x471,1.0,210.52969999999996
12,580,1849,BİNGÖL,KARLIOVA,Barley,6.41,12.8,x477,1.0,82.048
12,580,1850,BİNGÖL,KARLIOVA,Onion,5.03,20.09,x507,1.0,101.0527
12,573,1851,BİNGÖL,KİĞI,Potato,8.37,15.28,x521,1.0,127.89359999999998
12,573,1852,BİNGÖL,KİĞI,Rice,7.38,26.31,x530,1.0,194.1678
12,573,1853,BİNGÖL,KİĞI,Cotton,7.76,3.0,x550,1.0,23.28
12,573,1854,BİNGÖL,KİĞI,Corn,7.62,4.47,x573,1.0,34.0614
12,573,1855,BİNGÖL,KİĞI,Onion,11.11,2.29,x592,1.0,25.4419
12,573,1856,BİNGÖL,KİĞI,Potato,6.1,13.02,x606,1.0,79.422
12,573,1857,BİNGÖL,KİĞI,Oat,4.55,3.98,x622,1.0,18.108999999999998
12,573,1858,BİNGÖL,KİĞI,Sunflower,6.13,24.18,x631,1.0,148.2234
12,573,1859,BİNGÖL,KİĞI,Cotton,5.33,15.01,x652,1.0,80.0033
12,573,1860,BİNGÖL,KİĞI,Onion,6.44,23.33,x677,1.0,150.2452
12,526,1861,BİNGÖL,MERKEZ,Peanut,7.49,27.18,x689,1.0,203.5782
12,526,1862,BİNGÖL,MERKEZ,Sugarbeet,7.98,13.46,x704,1.0,107.41080000000001
12,526,1863,BİNGÖL,MERKEZ,Rice,5.9,28.35,x717,1.0,167.26500000000001
12,526,1864,BİNGÖL,MERKEZ,Canola,7.53,11.36,x744,1.0,85.5408
12,526,1865,BİNGÖL,MERKEZ,Sunflower,7.9,37.48,x750,1.0,296.092
12,526,1866,BİNGÖL,MERKEZ,Rice,9.63,8.75,x768,1.0,84.2625
12,526,1867,BİNGÖL,MERKEZ,Potato,5.09,10.75,x793,1.0,54.7175
12,526,1868,BİNGÖL,MERKEZ,Sunflower,5.2,13.09,x801,1.0,68.068
12,526,1869,BİNGÖL,MERKEZ,Sugarbeet,10.45,18.79,x823,1.0,196.35549999999998
12,526,1870,BİNGÖL,MERKEZ,Oat,9.75,10.64,x843,1.0,103.74000000000001
12,527,1871,BİNGÖL,SOLHAN,Soybean,7.04,16.85,x858,1.0,118.62400000000001
12,527,1872,BİNGÖL,SOLHAN,Lentil,4.98,24.26,x871,1.0,120.81480000000002
12,527,1873,BİNGÖL,SOLHAN,Chickpea,8.31,24.38,x889,1.0,202.5978
12,527,1874,BİNGÖL,SOLHAN,Sunflower,6.3,2.33,x903,1.0,14.679
12,527,1875,BİNGÖL,SOLHAN,Oat,10.26,6.11,x928,1.0,62.6886
12,527,1876,BİNGÖL,SOLHAN,Peanut,6.23,5.0,x944,1.0,31.150000000000002
12,527,1877,BİNGÖL,SOLHAN,Peanut,7.2,0.13,x961,1.0,0.936
12,527,1878,BİNGÖL,SOLHAN,Tomato,10.22,5.0,x985,1.0,51.1
12,527,1879,BİNGÖL,SOLHAN,Corn,5.39,19.83,x998,1.0,106.88369999999999
12,527,1880,BİNGÖL,SOLHAN,Chickpea,7.08,9.66,x1008,1.0,68.39280000000001
12,555,1881,BİNGÖL,YAYLADERE,Cotton,6.15,19.64,x1026,1.0,120.78600000000002
12,555,1882,BİNGÖL,YAYLADERE,Barley,7.31,16.98,x1038,1.0,124.1238
12,555,1883,BİNGÖL,YAYLADERE,Sugarbeet,5.1,6.3,x1061,1.0,32.129999999999995
12,555,1884,BİNGÖL,YAYLADERE,Potato,5.47,13.58,x1082,1.0,74.2826
12,555,1885,BİNGÖL,YAYLADERE,Canola,6.05,23.26,x1101,1.0,140.723
12,555,1886,BİNGÖL,YAYLADERE,Onion,6.91,27.71,x1119,1.0,191.4761
12,555,1887,BİNGÖL,YAYLADERE,Soybean,8.81,12.63,x1130,1.0,111.27030000000002
12,555,1888,BİNGÖL,YAYLADERE,Peanut,6.38,21.44,x1148,1.0,136.7872
12,555,1889,BİNGÖL,YAYLADERE,Cotton,6.05,8.22,x1162,1.0,49.731
12,555,1890,BİNGÖL,YAYLADERE,Onion,5.92,20.89,x1187,1.0,123.6688
12,595,1891,BİNGÖL,YEDİSU,Peanut,7.73,12.03,x1199,1.0,92.9919
12,595,1892,BİNGÖL,YEDİSU,Bean,8.84,1.0,x1222,1.0,8.84
12,595,1893,BİNGÖL,YEDİSU,Potato,8.24,16.54,x1235,1.0,136.2896
12,595,1894,BİNGÖL,YEDİSU,Rice,10.07,16.8,x1244,1.0,169.17600000000002
12,595,1895,BİNGÖL,YEDİSU,Potato,8.79,14.83,x1269,1.0,130.35569999999998
12,595,1896,BİNGÖL,YEDİSU,Rice,6.3,25.09,x1278,1.0,158.067
12,595,1897,BİNGÖL,YEDİSU,Wheat,4.82,10.72,x1292,1.0,51.67040000000001
12,595,1898,BİNGÖL,YEDİSU,Tomato,6.45,13.21,x1325,1.0,85.20450000000001
12,595,1899,BİNGÖL,YEDİSU,Wheat,7.19,2.0,x1326,1.0,14.38
12,595,1900,BİNGÖL,YEDİSU,Rice,3.33,14.76,x1346,1.0,49.150800000000004
