CityId,TARGET_FID,FieldId,CityName,DistrictName,CropName,Coef,FieldArea,VarName,VarValue,Utility
32,256,4341,ISPARTA,AKSU,Barley,10.6,24.45,x1,1.0,259.16999999999996
32,256,4342,ISPARTA,AKSU,Lentil,6.06,18.42,x21,1.0,111.6252
32,256,4343,ISPARTA,AKSU,Cotton,8.04,14.89,x40,1.0,119.7156
32,256,4344,ISPARTA,AKSU,Wheat,4.08,4.0,x51,1.0,16.32
32,256,4345,ISPARTA,AKSU,Canola,5.87,7.22,x81,1.0,42.3814
32,256,4346,ISPARTA,AKSU,Rice,8.18,8.32,x88,1.0,68.0576
32,256,4347,ISPARTA,AKSU,Lentil,7.77,22.98,x106,1.0,178.5546
32,256,4348,ISPARTA,AKSU,Lentil,5.28,7.44,x123,1.0,39.2832
32,256,4349,ISPARTA,AKSU,Cotton,5.23,19.79,x142,1.0,103.5017
32,256,4350,ISPARTA,AKSU,Bean,6.68,24.66,x168,1.0,164.7288
32,298,4351,ISPARTA,ATABEY,Barley,7.54,12.42,x171,1.0,93.6468
32,298,4352,ISPARTA,ATABEY,Corn,8.06,19.48,x199,1.0,157.0088
32,298,4353,ISPARTA,ATABEY,Tomato,8.5,11.66,x220,1.0,99.11
32,298,4354,ISPARTA,ATABEY,Barley,8.16,14.18,x222,1.0,115.7088
32,298,4355,ISPARTA,ATABEY,Cotton,6.88,8.98,x244,1.0,61.7824
32,298,4356,ISPARTA,ATABEY,Lentil,7.65,17.43,x259,1.0,133.33950000000002
32,298,4357,ISPARTA,ATABEY,Corn,5.46,9.94,x284,1.0,54.2724
32,298,4358,ISPARTA,ATABEY,Potato,6.45,6.45,x300,1.0,41.6025
32,298,4359,ISPARTA,ATABEY,Onion,7.13,3.0,x320,1.0,21.39
32,298,4360,ISPARTA,ATABEY,Cotton,8.74,20.68,x329,1.0,180.7432
32,308,4361,ISPARTA,EĞİRDİR,Potato,10.34,29.63,x351,1.0,306.3742
32,308,4362,ISPARTA,EĞİRDİR,Potato,7.76,26.83,x368,1.0,208.2008
32,308,4363,ISPARTA,EĞİRDİR,Sugarbeet,7.31,30.07,x381,1.0,219.8117
32,308,4364,ISPARTA,EĞİRDİR,Potato,7.94,21.68,x402,1.0,172.13920000000002
32,308,4365,ISPARTA,EĞİRDİR,Canola,5.45,30.63,x421,1.0,166.9335
32,308,4366,ISPARTA,EĞİRDİR,Barley,6.81,25.07,x426,1.0,170.7267
32,308,4367,ISPARTA,EĞİRDİR,Soybean,8.79,30.29,x450,1.0,266.24909999999994
32,308,4368,ISPARTA,EĞİRDİR,Corn,4.84,29.39,x471,1.0,142.2476
32,308,4369,ISPARTA,EĞİRDİR,Cotton,7.92,34.82,x482,1.0,275.7744
32,308,4370,ISPARTA,EĞİRDİR,Chickpea,8.48,7.91,x498,1.0,67.0768
32,335,4371,ISPARTA,GELENDOST,Potato,6.94,0.93,x521,1.0,6.454200000000001
32,335,4372,ISPARTA,GELENDOST,Cotton,8.63,5.0,x533,1.0,43.150000000000006
32,335,4373,ISPARTA,GELENDOST,Corn,9.29,17.06,x556,1.0,158.48739999999998
32,335,4374,ISPARTA,GELENDOST,Sunflower,6.78,12.96,x563,1.0,87.86880000000001
32,335,4375,ISPARTA,GELENDOST,Chickpea,6.63,12.08,x583,1.0,80.0904
32,335,4376,ISPARTA,GELENDOST,Soybean,7.05,13.24,x603,1.0,93.342
32,335,4377,ISPARTA,GELENDOST,Rice,5.86,8.02,x615,1.0,46.9972
32,335,4378,ISPARTA,GELENDOST,Tomato,5.95,12.95,x645,1.0,77.0525
32,335,4379,ISPARTA,GELENDOST,Barley,6.42,22.65,x647,1.0,145.41299999999998
32,335,4380,ISPARTA,GELENDOST,Oat,8.52,12.03,x673,1.0,102.4956
32,296,4381,ISPARTA,GÖNEN,Peanut,4.86,41.05,x689,1.0,199.503
32,296,4382,ISPARTA,GÖNEN,Peanut,8.03,24.0,x706,1.0,192.71999999999997
32,296,4383,ISPARTA,GÖNEN,Lentil,3.93,3.0,x718,1.0,11.790000000000001
32,296,4384,ISPARTA,GÖNEN,Oat,8.67,13.28,x741,1.0,115.13759999999999
32,296,4385,ISPARTA,GÖNEN,Soybean,7.95,17.52,x756,1.0,139.284
32,296,4386,ISPARTA,GÖNEN,Corn,8.08,28.25,x777,1.0,228.26
32,296,4387,ISPARTA,GÖNEN,Chickpea,8.72,17.67,x787,1.0,154.08240000000004
32,296,4388,ISPARTA,GÖNEN,Cotton,7.21,22.18,x805,1.0,159.9178
32,296,4389,ISPARTA,GÖNEN,Sunflower,6.85,12.96,x818,1.0,88.776
32,296,4390,ISPARTA,GÖNEN,Barley,9.29,18.47,x834,1.0,171.58629999999997
32,300,4391,ISPARTA,KEÇİBORLU,Onion,9.57,26.2,x864,1.0,250.734
32,300,4392,ISPARTA,KEÇİBORLU,Canola,6.42,4.0,x880,1.0,25.68
32,300,4393,ISPARTA,KEÇİBORLU,Peanut,7.1,33.34,x893,1.0,236.714
32,300,4394,ISPARTA,KEÇİBORLU,Canola,6.87,4.93,x914,1.0,33.869099999999996
32,300,4395,ISPARTA,KEÇİBORLU,Potato,7.11,10.53,x929,1.0,74.8683
32,300,4396,ISPARTA,KEÇİBORLU,Onion,6.29,16.85,x949,1.0,105.9865
32,300,4397,ISPARTA,KEÇİBORLU,Bean,8.09,14.9,x967,1.0,120.541
32,300,4398,ISPARTA,KEÇİBORLU,Corn,9.44,16.75,x981,1.0,158.12
