CityId,DistrictId,IrrigationId,CityName,DistrictName,WheatCost,BarleyCost,OatCost,CottonCost,SoybeanCost,TomatoCost,CanolaCost,PotatoCost,SugarbeetCost,OnionCost,BeanCost,LentilCost,ChickpeaCost,PeanutCost,RiceCost,CornCost,SunflowerCost
7,94,1,ANTALYA,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
31,95,1,HATAY,ERZ?N,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,96,1,MU?LA,FETH?YE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,97,1,?ANLIURFA,HARRAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
79,98,1,K?L?S,MUSABEYL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,99,1,MU?LA,DATÇA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,100,1,ANTALYA,ELMALI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,101,1,MERS?N,S?L?FKE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,102,1,ANTALYA,KONYAALTI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,103,1,GAZ?ANTEP,O?UZEL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,104,1,ADANA,YÜRE??R,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,105,1,ADANA,SEYHAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,106,1,MU?LA,ORTACA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,107,1,MU?LA,SEYD?KEMER,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,108,1,OSMAN?YE,TOPRAKKALE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,109,1,ANTALYA,GÜNDO?MU?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,110,1,GAZ?ANTEP,?AH?NBEY,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,111,1,KONYA,HAD?M,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,113,1,ADANA,ÇUKUROVA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,114,1,GAZ?ANTEP,?SLAH?YE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,116,1,OSMAN?YE,HASANBEYL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,117,1,BURDUR,ALTINYAYLA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,118,1,MERS?N,ERDEML?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,119,1,MU?LA,DALAMAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,120,1,?ANLIURFA,SURUÇ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,122,1,MU?LA,MARMAR?S,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,123,1,?ANLIURFA,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,125,1,?ANLIURFA,CEYLANPINAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,126,1,ANTALYA,KEPEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,129,1,MERS?N,TOROSLAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,130,1,OSMAN?YE,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,131,1,ADANA,SARIÇAM,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,132,1,ADANA,CEYHAN,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,135,1,?ANLIURFA,B?REC?K,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,136,1,OSMAN?YE,BAHÇE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,137,1,GAZ?ANTEP,N?Z?P,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,140,1,ANTALYA,AKSU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,142,1,GAZ?ANTEP,NURDA?I,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,144,1,KONYA,BOZKIR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,145,1,DEN?ZL?,ÇAMEL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,146,1,MU?LA,KÖYCE??Z,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,147,1,ANTALYA,DÖ?EMEALTI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,148,1,MU?LA,ULA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,150,1,GAZ?ANTEP,MERKEZ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,151,1,KONYA,GÜNEYSINIR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,152,1,MERS?N,ÇAMLIYAYLA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,153,1,KONYA,YALIHÜYÜK,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
48,155,1,MU?LA,BODRUM,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,156,1,ANTALYA,AKSEK?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,157,1,BURDUR,GÖLH?SAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,158,1,ANTALYA,?BRADI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
70,160,1,KARAMAN,KAZIMKARABEK?R,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
27,161,1,GAZ?ANTEP,YAVUZEL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,162,1,KONYA,AHIRLI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,163,1,ANTALYA,SER?K,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
33,164,1,MERS?N,TARSUS,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,165,1,ADANA,?MAMO?LU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
80,166,1,OSMAN?YE,DÜZ?Ç?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,167,1,ANTALYA,KORKUTEL?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,168,1,BURDUR,ÇAVDIR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,169,1,MARD?N,KIZILTEPE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
1,170,1,ADANA,KARA?SALI,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,171,1,?ANLIURFA,HALFET?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
20,172,1,DEN?ZL?,BEYA?AÇ,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
47,173,1,MARD?N,NUSAYB?N,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
7,176,1,ANTALYA,MANAVGAT,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
46,177,1,KAHRAMANMARA?,TÜRKO?LU,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
42,179,1,KONYA,HALKAPINAR,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,180,1,?ANLIURFA,BOZOVA,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
15,181,1,BURDUR,TEFENN?,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
63,182,1,?ANLIURFA,HAL?L?YE,798,773,763,2187,1268,3370,858,3656,1879,3378,1302,616,597,2495,2593,1113,909
