CityId,DistrictId,CityName,DistrictName,WheatPrice,BarleyPrice,OatPrice,CottonPrice,SoybeanPrice,TomatoPrice,CanolaPrice,PotatoPrice,SugarbeetPrice,OnionPrice,BeanPrice,LentilPrice,ChickpeaPrice,PeanutPrice,RicePrice,CornPrice,SunflowerPrice
45,453,MAN?SA,AHMETL?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,454,AFYONKARAH?SAR,HOCALAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,455,MAN?SA,TURGUTLU,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
21,456,D?YARBAKIR,KULP,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
42,458,KONYA,SARAYÖNÜ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,459,AFYONKARAH?SAR,SULTANDA?I,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
42,460,KONYA,KADINHANI,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,461,AFYONKARAH?SAR,ÇOBANLAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
50,462,NEV?EH?R,GÜL?EH?R,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
65,463,VAN,GEVA?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,464,MAN?SA,KULA,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
49,465,MU?,HASKÖY,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,466,KAYSER?,MEL?KGAZ?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
23,468,ELAZI?,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
13,469,B?TL?S,GÜROYMAK,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
23,470,ELAZI?,KEBAN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,471,MAN?SA,SAL?HL?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
23,472,ELAZI?,PALU,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
68,473,AKSARAY,A?AÇÖREN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
13,474,B?TL?S,TATVAN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
68,475,AKSARAY,ORTAKÖY,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,476,MAN?SA,GÖLMARMARA,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
35,477,?ZM?R,KARABURUN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,479,AFYONKARAH?SAR,BOLVAD?N,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
35,480,?ZM?R,MENEMEN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
23,481,ELAZI?,KOVANCILAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
64,482,U?AK,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
12,483,B?NGÖL,GENÇ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,484,KAYSER?,BÜNYAN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,485,AFYONKARAH?SAR,S?NANPA?A,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
35,486,?ZM?R,FOÇA,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
44,487,MALATYA,KULUNCAK,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
42,488,KONYA,YUNAK,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,489,MAN?SA,KÖPRÜBA?I,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
68,490,AKSARAY,SARIYAH??,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,491,KAYSER?,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
64,492,U?AK,BANAZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,493,AFYONKARAH?SAR,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,494,MAN?SA,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
42,495,KONYA,C?HANBEYL?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
58,496,S?VAS,GÜRÜN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
50,497,NEV?EH?R,AVANOS,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
43,498,KÜTAHYA,DUMLUPINAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,499,MAN?SA,SELEND?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
49,500,MU?,KORKUT,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
23,501,ELAZI?,A?IN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,502,KAYSER?,AKKI?LA,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
65,503,VAN,SARAY,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
65,504,VAN,MERKEZ,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
44,505,MALATYA,HEK?MHAN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
62,507,TUNCEL?,PERTEK,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
3,508,AFYONKARAH?SAR,?SCEH?SAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
6,509,ANKARA,EVREN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
44,510,MALATYA,ARGUVAN,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,511,KAYSER?,PINARBA?I,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
50,512,NEV?EH?R,HACIBEKTA?,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
43,513,KÜTAHYA,PAZARLAR,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
42,514,KONYA,ÇELT?K,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
45,515,MAN?SA,YUNUSEMRE,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
13,516,B?TL?S,AHLAT,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
62,517,TUNCEL?,MAZG?RT,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
35,518,?ZM?R,AL?A?A,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
44,520,MALATYA,ARAPG?R,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
38,521,KAYSER?,FELAH?YE,1.9,1.75,2.25,7.25,4.6,0.605,3.38,1.056,0.33,0.6,7.7,6.7,5.7,9.5,3.65,1.8,4.58
