CityId,DistrictId,CityName,DistrictName,WheatPrice,BarleyPrice,OatPrice,CottonPrice,SoybeanPrice,TomatoPrice,CanolaPrice,PotatoPrice,SugarbeetPrice,OnionPrice,BeanPrice,LentilPrice,ChickpeaPrice,PeanutPrice,RicePrice,CornPrice,SunflowerPrice
31,15,HATAY,YAYLADA?I,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,15,HATAY,YAYLADA?I,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,17,HATAY,ALTINÖZÜ,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,20,HATAY,DEFNE,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
33,25,MERS?N,AYDINCIK,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,26,HATAY,SAMANDA?,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,28,HATAY,REYHANLI,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,30,HATAY,ANTAKYA,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
33,31,MERS?N,BOZYAZI,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,32,HATAY,KUMLU,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,34,ANTALYA,DEMRE,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
33,36,MERS?N,ANAMUR,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,37,HATAY,BELEN,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,38,ANTALYA,GAZ?PA?A,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,39,HATAY,ARSUZ,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
33,40,MERS?N,GÜLNAR,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,43,ANTALYA,F?N?KE,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,44,HATAY,KIRIKHAN,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,45,HATAY,?SKENDERUN,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,47,ANTALYA,KA?,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
70,49,KARAMAN,SARIVEL?LER,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
1,51,ADANA,KARATA?,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,52,HATAY,PAYAS,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,54,ANTALYA,KEMER,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,55,ANTALYA,ALANYA,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
70,59,KARAMAN,BA?YAYLA,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
79,61,K?L?S,ELBEYL?,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
70,69,KARAMAN,ERMENEK,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
79,70,K?L?S,MERKEZ,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
1,75,ADANA,YUMURTALIK,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
31,76,HATAY,HASSA,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
7,77,ANTALYA,KUMLUCA,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
33,78,MERS?N,YEN??EH?R,2.06,1.62,2.1,9.59,2.18,0.55,2.94,1.5,0.32,2.8,7.98,4.85,4.9,10.4,4.4,1.4,6.11
